NAVIDAD             PICTIONARY           GUARDAPOLVO        PALMERA
Diciembre           Juego                Blanco             Datil
Papa Noel           Dibujar              Escuela            Coco
Villancicos         Lápiz               Primaria           Árbol
Arbolito            Marca                Maestra            Mono
Nacimiento          Tablero              Alumno             Trópico

MOSQUITO            CARGA                CUNA               RONCAR
Picadura            Bultos               Dormir             Noche
Rascarse            Pesada               Bebe               Ruido
Raid                Camión              Canción           Nariz
Espiral             Barco                Barrotes           Dormir
Insecto             Tren                 Muebles            Molestar

CASTIGO             MICRO ESCOLAR        TENIS              ANGEL
Diciembre           Colegio              Deporte            Paraíso
Papa Noel           Niño                Pelota             Diablo
Villancicos         Vehiculo             Cancha             Demonio
Arbolito            Chicos               Raqueta            Cielo
Nacimiento          Naranja              Red                Alas

CORPIÑO            CINE                 NIDO               BANDONEON
Ropa                Película            Pájaro            Música
Sostén             Pantalla             Pichones           Acordeón
Pechos              Filmar               Huevos             Instrumento
Mujer               Proyectar            Casa               Tango
Bombacha            Cámara              Árbol             Piazzola

RISA                ESPOSAS              CENIZAS            BOTIQUIN
Ridículo           Arresto              Fuego              Baño
Cómico             Policía             Fumar              Espejo
Carcajada           Mano                 Polvo              Remedios
Chiste              Preso                Quemar             Guardar
Broma               Muñeca              Cigarrillo         Armario

PASAPORTE           ANTIFAZ              RADIADOR           PINOCHO
Documento           Ojos                 Anticongelante     Mentira
Extranjero          Tapar                Enfriar            Nariz
Viajar              Mascara              Coche              Gepetto
Aduana              Carnaval             Agua               Muñeco
Visa                Cara                 Motor              Cuento

LAGRIMA             GRUA                 PAIS               BILLIKEN
Ojos                Levantar             Estado             Anteojito
Llorar              Auto                 Nación            Revista
Agua                Avería              Gobierno           Infantil
Gotas               Estacionamiento      Frontera           Quiosco
Triste              Auxilio              Bandera            Niños

CONVENTO            NUBE                 CARPA              UNIFORME
Iglesia             Cielo                Campamento         Vestido
Habito              Despejado            Tienda             Igual
Religión           Lluvia               Dormir             Colegio
Monja               Sol                  Camping            Ejercito
Cura                Trueno               Circo              Policía

PIMPOLLO            MONJA                LAVARROPAS         TERREMOTO
Capullo             Habito               Maquina            Derrumbe
Botón              Religión            Electrodoméstico  Sismo
Flor                Hermana              Tambor             Temblor
Rosa                Convento             Centrifugar        Tierra
Cerrado             Novicia              Jabón             Movimiento

KREMLIN             DIA                  RELOJ              CONFUCIO
Moscu               Noche                Hora               Filosofo
Urss                Sol                  Tiempo             Chino
Palacio             Horas                Despertador        Proverbio
Rusia               Semana               Muñeca            Religión
Plaza Roja          Despierto            Agujas             Sabio

HIPNOTIZAR          INCENDIO             QUIOSCO            SUERTE
Dormir              Quemar               Golosinas          Buena
Mirada              Apagar               Negocio            Yeta
Mago                Fuego                Caramelos          Amuleto
Despertar           Llama                Cigarrillos        Mala
Sueño              Bomberos             Vender             Culo

ROSA                ARQUITECTO           ESTOMAGO           PLOMERO
Espinas             Obra                 Panza              Gotera
Flor                Planos               Tripa              Agua
Pantera             Dibujo               Comida             Caños
Color               Diseño              Cuerpo             Arreglar
Rojo                Construcción        Digestión         Canillas

POLVO               MUSEO                BARRO              PIMIENTA
Limpio              Arte                 Lluvia             Cocina
Sucio               Edificio             Tierra             Picante
Tierra              Pinturas             Lodo               Sabor
Plumero             Exhibición          Agua               Condimento
Muebles             Colecciones          Fango              Sal

MANEJAR             CUCHILLO             COWBOY             CERDO
Auto                Cuchara              Pistola            Animal
Volante             Tenedor              Sombrero           Embutido
Coche               Cortar               Caballo            Jamón
Conductor           Cubierto             Indios             Chancho
Vehiculo            Afilado              Oeste              Fiambre

FECHA               PONCHO               ARENA              FUTBOL
Mes                 Gaucho               Playa              Maradona
Año                Cubrir               Fina               Deporte
Almanaque           Ropa                 Piedra             Arco
Día                Cabeza               Rocas              Gol
Calendario          Capa                 Erosión           Pelota

ALBAÑIL            CALENDARIO           PODIO              DEDAL
Construcción       Mes                  Campeón           Aguja
Ladrillo            Almanaque            Ganador            Pinchar
Casa                Fecha                Pedestal           Metal
Obra                Días                Triunfador         Protección
Cemento             Año                 Subir              Coser


CIRCULO             PESCADOR             FLAN               SKATE
Anillo              Pez                  Leche              Patineta
Redondo             Caña                Molde              Monopatín
Compás             Anzuelo              Postre             Cuatro
Línea              Carnada              Huevos             Ruedas
Curva               Lombriz              Caramelo           Tabla


IZQUIERDA           GAS                  CAMELLO            COMPACT DISC
Lado                Estufa               Animal             Escuchar
Derecha             Cocinar              Desierto           Láser
Zurdo               Envasado             Joroba             Canción
Comunista           Calefón             Arena              Casette
Dirección          Termotanque          Dromedario         Música


CARREFOUR           POCHOCLO             ALUMINIO           POLLO
Supermercado        Maíz                Metal              Ave
Caja                Dulce                Cacerola           Plumas
Carrito             Salado               Avión             Comer
Comprar             Cine                 Acero              Gallina
Góndolas           Blanco               Liviano            Pavo


CONTRATO            MUÑECO              AGENDA             FARMACIA
Papel               Niñas               Abecedario         Medico
Firmar              Bebote               Días              Inyección
Acuerdo             Juguete              Direcciones        Remedios
Alquiler            Mama                 Teléfonos         Receta
Escritorio          Regalo               Morgan             Turno


ESTACION            CARNE                COSQUILLAS         FUEGO
Terminal            Vaca                 Dedos              Fósforo
Tren                Asado                Hacer              Llamas
Parada              Comer                Pies               Hoguera
Anden               Milanesa             Sensación         Quemar
Bonetería          Hamburguesa          Risa               Leña


OFICIAL DE POLICIA  IDIOMA               HERIDA             ARROZ
Esposas             Lengua               Sangre             Cereal
Agente              País                Corte              Comida
Patrullero          Diccionario          Curita             Grano
Comisaría          Traducir             Coser              Chino
Arrestar            Estudiar             Puntos             Integral


LEVADURA            HUMOR                COSTILLAS          HOJA
Masa                Alegría             Esqueleto          Verde
Pan                 Animo                Espalda            Caer
Harina              Broma                Huesos             Árbol
Cocinar             Risa                 Pecho              Planta
Royal               Comedia              Cuerpo             Rama


BASQUET             TELEFONO PUBLICO     PIZZA              ALGODÓN
Deporte             Llamar               Napolitana         Cura
Pelota              Calle                Mozzarella         Sangre
Equipo              Hablar               Queso              Herida
Aro                 Cospeles             Faina              Rama
Cancha              Fichas               Fugaza             Farmacia


OSTRA               RECREO               ANCHOA             FANTASMA
Perla               Patio                Sardina            Sabana
Mar                 Escuela              Pescado            Miedo
Bivalvo             Jugar                Lata               Cadenas
Marisco             Campana              Comida             Castillo
Comer               Tiempo               Salado             Espíritu


CUADRO              GOL                  CIRCO              PINTAR
Museo               Pelota               Pista              Artista
Pintor              Hacer                Carpa              Cuadro
Óleo               Puntuación          Payasos            Colores
Caballete           Futbol               Trapecista         Pincel
Tela                Arco                 Domador            Pared



NOCHE               HAMSTER              COLCHON            SALA DE ESPERA
Día                Animal               Cama               Consultorio
Oscuridad           Jaula                Almohada           Revistas
Luna                Mascota              Acostarse          Paciente
Estrellas           Rata                 Sabanas            Medico
Sol                 Roedor               Dormir             Asientos



CHINA               FOTOGRAFIA           ESPIA              BRUJULA
Oriental            Revelar              CIA                Orientarse
Amarillo            Rollo                Side               Norte
País               Film                 Traidor            Aguja
Asia                Álbum               Secreto            Imantada
Muralla             Cámara              James Bond         Cardinales



CALEFACCION         RIMMEL               GIRASOL            NASHUA
Invierno            Ojos                 Planta             Japonesa
Estufa              Maquillaje           Semillas           Fotocopiadora
Aire                Cepillo              Aceite             Marca
Caldera             Cosmético           Flor               Librería
Frío               Pestaña             Amarillo           Maquina


LENTES DE CONTACTO  GRANERO              BEBIDA             CIUDAD
Duras               Trigo                Liquido            Municipio
Blandas             Edificio             Tomar              Capital
Anteojos            Silo                 Agua               Población
Colores             Cereales             Sed                Edificios
Vista               Campo                Brindar            Intendente



DINERO              PELOTA               BOTELLA            ARTISTA
Comprar             Balón               Tapón             Pintor
Plata               Redonda              Envase             Escultor
Moneda              Futbol               Recipiente         Actor
Billetes            Bola                 Vidrio             Fama
Guita               Patear               Frasco             Premio



PAÑUELO            DIABLO               CUPIDO             AZULEJO
Nariz               Lucifer              Arco               Cerámica
Sonarse             Ángel               Flechazo           Pared
Tela                Demonio              Amor               Baño
Mocos               Infierno             Dios               Cocina
Resfrió            Satanás             Corazón           Decoración



MANZANA             NIEVE                TELEFONO           ERUCTO
Comer               Blanca               Numero             Ruido
Sidra               Agua                 Llamar             Bebe
Verde               Invierno             Movicom            Comer
Rojo                Esquiar              Tomo               Boca
Fruta               Frío                Ocupado            Provechito


CABALLO             ESTRIBOS             BOLEADORAS         PARQUIMETRO
Estribos            Montura              Cazar              Ficha
Ensillar            Ensillar             Caballo            Coche
Jinete              Pies                 Lanzar             Estacionar
Montar              Espuelas             Indios             Tiempo
Carrera             Caballo              Avestruz           Reloj



SURF                EDAD                 COLUMNA VERTEBRAL  GORILA
Playa               Años                Esqueleto          Mono
Tabla               Vida                 Cuerpo             Chimpance
Mar                 Nacer                Costillas          Orangutan
Olas                Fecha                Huesos             King-kong
Equilibrio          Tiempo               Sostener           Zoológico



PIRAMIDE            BATERIA              PRONOSTICO         ANDEN
Tumba               Platillos            Predicción        Tren
Momia               Instrumento          Nublado            Estación
Egipto              Música              Lluvia             Esperar
Keops               Ritmo                Temperatura        Subir
Faraón             Bombo                Tiempo             Bajar



MATE                CIRUJANO             CRITICO            ANGULO
Yerba               Hospital             Película          Recta
Bombilla            Anestesia            Opinión           Grado
Agua                Operación           Teatro             Geometría
Amargo              Doctor               Arte               Polígono
Azúcar             Escalpelo            Comentar           Lado


BANCO               GENIOL               PAN                FIESTA
Cheque              Aspirina             Harina             Cumpleaños
Cuenta              Dolor                Levadura           Celebración
Cajero              Farmacia             Galletitas         Regalos
Dinero              Remedio              Sándwich          Amigos
Cambio              Marca                Tostadas           Invitaciones



SUGUS               FIRMA                PIJAMA             ALFOMBRA
Caramelo            Nombre               Dormir             Carpeta
Masticar            Apellido             Cama               Kalpakian
Quiosco             Rubrica              Ponerse            Piso
Marca               Autógrafo           Ropa               Moqueta
Golosina            Contrato             Camisón           Suelo



DULCE               ALMOHADA             LUNA               CICATRIZ
Chocolate           Cama                 Noche              Señal
Caramelo            Dormir               Sol                Marca
Sabor               Pluma                Satélite          Herida
Galletitas          Acostarse            Espacio            Piel
Bombón             Cabeza               Estrellas          Huella



REPASADOR           PAYASO               ALBINO             GELATINA
Trapo               Circo                Blanco             Flan
Secar               Nariz                Ojos               Comer
Platos              Zapatones            Cara               Postre
Cocina              Bofetada             Piel               Helado
Tela                Reír                Color              Transparente


HUELLA              OXIGENO              NAFTA              OLIMPICO
Digital             Respirar             Combustible        Atletas
Rastro              Aire                 Surtidor           Medallas
Pisada              Atmosfera            Auto               Juegos
Señal              Hidrogeno            Tanque             Competición
Mano                Gas                  Estación          Países



INODORO             MEDIALUNA            COLOR              ANALISIS
Caca                Panadería           Amarillo           Sangre
Pis                 Factura              Tojo               Orina
Baño               Comer                Verde              Laboratorio
Agua                Grasa                Azul               Medico
Sentarse            Croissant            Marrón            Enfermo



ANIMAL              INOCENTE             MERCENARIO         CORONA
Vivo                Absuelto             Soldado            Rey
Salvaje             Niño                Guerra             Cabeza
Domestico           Culpable             Pago               Oro
Veterinario         Ingenuo              Extranjero         Redonda
Irracional          Veredicto            Militar            Símbolo



COCKTAIL            OBELISCO             SEMANA             HELICOPTERO
Alcohol             Monumento            Mes                Avión
Trago               Buenos Aires         Cuatro             Volar
Copa                Corrientes           Tiempo             Rotor
Mezcla              Símbolo             Siete              Vertical
Bebida              República           Días              Hélice



MONSTRUO            CONGRESO             TESORO             ASADO
Miedo               Cámara              Piratas            Fuego
Criatura            Senado               Mapa               Parrilla
Asustar             Gobierno             Cofre              Carbón
Horrible            Diputados            Oro                Carne
Feo                 Poder Legislativo    Isla               Cocinar



SUBMARINO           AGUIJON              HOSPITAL           PUÑAL
Barco               Clavar               Doctor             Arma
Periscopio          Abeja                Medico             Mano
Torpedo             Veneno               Curar              Cuchillo
Inmersión          Mosquito             Internar           Espada
Guerra              Avispa               Enfermo            Daga



CAMISA DE FUERZA    VOTO                 ANILLO             ANESTESIA
Mangas              Sufragio             Dedos              Dolor
Atar                Presidente           Mano               Operación
Manicomio           Cuarto Oscuro        Sortija            Dormir
Loco                Urna                 Compromiso         Sentir
Demente             Elecciones           Alianza            Medico



SILLON              XUXA                 LAGARTO            LACOSTE
Respaldo            Brasil               Cocodrilo          Chomba
Cómodo             TV                   Animal             Marca
Asiento             Niños               Sol                Ropa
Sentarse            Paquitas             Reptil             Cocodrilo
Sofá               Pele                 Pequeño           Lagarto


FLECHA              AIWA                 SHOPPING           INSOMNIO
Arco                Grabador             Alto Palermo       Cama
Punta               Música              Comprar            Dormir
Lanzar              Minicomponente       Unicenter          Desvelo
Ballesta            Marca                Negocios           Sueño
Indios              Parlantes            Galería           Noche



VENTANA             LANZAR               ALMIBAR            COLADOR
Casa                Pelota               Azúcar            Te
Pared               Jabalina             Dulce              Agujeros
Vidrio              Tirar                Fruta              Filtro
Mirar               Echar                Lata               Fideos
Luz                 Arrojar              Liquido            Agua



MASTIL              DUCHA                ESTAMPILLA         BALA
Bandera             Baño                Carta              Cartucho
Palo                Canilla              Sobre              Pistola
Poste               Toallon              Correo             Disparar
Izar                Agua                 Lamer              Proyectil
Velas               Cuerpo               Sello              Escopeta



BOSQUE              HOGUERA              ALARMA             HAVANNA
Plantas             Madera               Robo               Alfajor
Árboles            Quemar               Casa               Marca
Animales            Leña                Banco              Golosina
Madera              Fuego                Atraco             Mar del Plata
Selva               Campamento           Ladrón            Chocolate


HORMIGA             SOFTWARE             CORBATA            GATILLO
Insecto             Computadora          Vestir             Dedo
Comer               Programa             Seda               Tirar
Jardín             Disquette            Camisa             Apretar
Fila                Lenguaje             Cuello             Disparar
Plantas             Hardware             Nudo               Pistola



MARATON             ESCARBADIENTES       FLORERO            ANZUELO
Carrera             Madera               Planta             Caña
Competencia         Palito               Recipiente         Pescador
Kilómetros         Aperitivo            Ramo               Tirar
Olimpiadas          Boca                 Pote               Cebo
Grecia              Hilo dental          Agua               Lombriz



ELECTRICIDAD        UVA                  POKER              SOMBRERO
Luz                 Vid                  Apostar            Gorra
Corriente           Fruta                Naipes             Casco
Energía            Parra                Juego              Poner
Enchufe             Racimo               Baraja             Cabeza
Lámpara            Vino                 Cartas             Ala



VALIENTE            CHATARRA             MOCHILA            MAMADERA
Cobarde             Autos                Bolso              Leche
Miedo               Coche                Hombro             Tetina
Defender            Hierro               Caminata           Comer
Héroe              Basura               Llevar             Bebe
Salvar              Metal                Espalda            Chupar



DOLAR               ADUANA               PLAYA              PERCHA
Verde               Control              Arena              Colgar
Dinero              Frontera             Costa              Ropa
Moneda              Pasaporte            Verano             Placard
ee uu               Declarar             Mar                Arruga
Plata               Contrabando          Olas               Vestido



WHISKY              INTENDENTE           PIRATA             COLONIA
Licor               Funcionario          Calavera           Desodorante
Alcohol             Ciudad               Abordaje           Aroma
Tomar               Municipalidad        Barcos             Perfume
Caro                Grosso               Mar                Olor
Bebida              Cargo                Pata               Fragancia



NEON                PORTERO              BRILLANTE          ANTEPASADO
Luces               Mantenimiento        Diamante           Árbol Genealógico
Negocios            Encargado            Sol                Descendiente
Tubos               Edificio             Luz                Familiar
Publicidad          Basura               Radiante           Abuelo
Gas                 Limpio               Luminoso           Ascendiente



UÑA                BOTE DE GOMA         MARIPOSA           BALANZA
Manicura            Pileta               Larva              Pesar
Limar               Remos                Volar              Platillo
Dedo                Agua                 Insecto            Kilos
Esmalte             Navegar              Flores             Farmacia
Pintar              Inflar               Alas               Gramo


BRUJA               VIDRIERA             LADRILLO           ANTENA
Escoba              Negocio              Construir          TV
Fea                 Mirar                Casa               Radio
Cuentos             Calle                Barro              Captar
Mala                Galería             Edificio           Emisión
Magia               Cristal              Obra               Onda



TAXI                TIESO                INYECCION          INDICE
Reloj               Inmóvil             Jeringa            Orden
Ficha               Cadáver             Aguja              Libro
